index, name, zvalue, xvalue, yvalue 
117, Cell_0118.png, 0.32, 0.75, 0.34 
118, Cell_0119.png, 0.32, 0.39, 0.71 
119, Cell_0120.png, 0.36, 0.37, 0.53 
120, Cell_0121.png, 0.32, 0.26, 0.59 
121, Cell_0122.png, 0.31, 0.60, 0.90 
122, Cell_0123.png, 0.35, 0.47, 0.52 
123, Cell_0124.png, 0.34, 0.06, 0.17 
124, Cell_0125.png, 0.34, 0.60, 0.48 
125, Cell_0126.png, 0.35, 0.07, 0.56 
126, Cell_0127.png, 0.34, 0.33, 0.46 
127, Cell_0128.png, 0.35, 0.05, 0.25 
128, Cell_0129.png, 0.30, 0.20, 0.04 
129, Cell_0130.png, 0.34, 0.13, 0.68 
130, Cell_0131.png, 0.36, 0.85, 0.71 
131, Cell_0132.png, 0.30, 0.30, 0.16 
132, Cell_0133.png, 0.30, 0.52, 0.69 
133, Cell_0134.png, 0.33, 0.74, 0.64 
134, Cell_0135.png, 0.35, 0.14, 0.40 
135, Cell_0136.png, 0.32, 0.44, 0.18 
136, Cell_0137.png, 0.34, 0.90, 0.09 
137, Cell_0138.png, 0.40, 0.14, 0.32 
138, Cell_0139.png, 0.31, 0.76, 0.47 
139, Cell_0140.png, 0.37, 0.86, 0.22 
140, Cell_0141.png, 0.29, 0.30, 0.05 
141, Cell_0142.png, 0.42, 0.30, 0.35 
142, Cell_0143.png, 0.37, 0.85, 0.48 
143, Cell_0144.png, 0.40, 0.07, 0.85 
144, Cell_0145.png, 0.42, 0.48, 0.56 
145, Cell_0146.png, 0.36, 0.81, 0.02 
146, Cell_0147.png, 0.36, 0.05, 0.37 
147, Cell_0148.png, 0.34, 0.34, 0.31 
148, Cell_0149.png, 0.29, 0.51, 0.77 
149, Cell_0150.png, 0.34, 0.53, 0.22 
150, Cell_0151.png, 0.33, 0.22, 0.15 
151, Cell_0152.png, 0.32, 0.78, 0.35 
152, Cell_0153.png, 0.34, 0.49, 0.65 
153, Cell_0154.png, 0.34, 0.95, 0.63 
154, Cell_0155.png, 0.34, 0.85, 0.29 
155, Cell_0156.png, 0.36, 0.89, 0.80 
156, Cell_0157.png, 0.28, 0.64, 0.75 
157, Cell_0158.png, 0.32, 0.63, 0.04 
158, Cell_0159.png, 0.29, 0.18, 0.32 
159, Cell_0160.png, 0.31, 0.35, 0.24 
160, Cell_0161.png, 0.27, 0.74, 0.60 
161, Cell_0162.png, 0.33, 0.20, 0.74 
162, Cell_0163.png, 0.28, 0.57, 0.32 
163, Cell_0164.png, 0.28, 0.80, 0.47 
164, Cell_0165.png, 0.33, 0.70, 0.19 
165, Cell_0166.png, 0.29, 0.98, 0.59 
166, Cell_0167.png, 0.37, 0.06, 0.45 
167, Cell_0168.png, 0.28, 0.76, 0.69 
168, Cell_0169.png, 0.34, 0.39, 0.16 
169, Cell_0170.png, 0.35, 0.28, 0.52 
170, Cell_0171.png, 0.28, 0.49, 0.70 
171, Cell_0172.png, 0.30, 0.99, 0.87 
172, Cell_0173.png, 0.41, 0.19, 0.75 
173, Cell_0174.png, 0.29, 0.77, 0.28 
174, Cell_0175.png, 0.30, 0.84, 0.24 
175, Cell_0176.png, 0.31, 0.78, 0.06 
176, Cell_0177.png, 0.31, 0.56, 0.89 
177, Cell_0178.png, 0.33, 0.42, 0.81 
178, Cell_0179.png, 0.31, 0.94, 0.38 
179, Cell_0180.png, 0.34, 0.43, 0.40 
180, Cell_0181.png, 0.35, 0.79, 0.86 
181, Cell_0182.png, 0.33, 0.25, 0.86 
182, Cell_0183.png, 0.42, 0.35, 0.70 
183, Cell_0184.png, 0.37, 0.71, 0.70 
184, Cell_0185.png, 0.42, 0.25, 0.38 
185, Cell_0186.png, 0.40, 0.54, 0.88 
186, Cell_0187.png, 0.40, 0.38, 0.07 
187, Cell_0188.png, 0.42, 0.88, 0.50 
188, Cell_0189.png, 0.43, 0.75, 0.47 
189, Cell_0190.png, 0.40, 0.82, 0.63 
190, Cell_0191.png, 0.42, 0.55, 0.27 
191, Cell_0192.png, 0.38, 0.24, 0.10 
192, Cell_0193.png, 0.44, 0.15, 0.40 
193, Cell_0194.png, 0.43, 0.23, 0.68 
194, Cell_0195.png, 0.40, 0.58, 0.68 
195, Cell_0196.png, 0.42, 0.10, 0.29 
196, Cell_0197.png, 0.36, 0.32, 0.03 
197, Cell_0198.png, 0.41, 0.91, 0.88 
198, Cell_0199.png, 0.44, 0.96, 0.15 
199, Cell_0200.png, 0.42, 0.85, 0.02 
